K: [ 0.220748, -0.718879 ]
P: [ 1.75664, -1.97551 ]
K: [ 1.89626, -1.97551 ]
K: [ 1.61701, -1.97551 ]
K: [ 1.75664, -1.83589 ]
K: [ 1.75664, -2.11514 ]
P: [ 0.779252, -1.41701 ]
K: [ 0.918879, -1.41701 ]
K: [ 0.639626, -1.41701 ]
K: [ 0.779252, -1.27738 ]
K: [ 0.779252, -1.55664 ]
P: [ 0.639626, -1.27738 ]
K: [ 0.779252, -1.27738 ]
K: [ 0.5, -1.27738 ]
K: [ 0.639626, -1.13776 ]
K: [ 0.639626, -1.41701 ]
P: [ 0.0811213, 0.118879 ]
K: [ 0.220748, 0.118879 ]
