G: [ 3.1415, 0 ]
K: [ 1.77551, -0.101869 ]
K: [ 1.77551, -0.939626 ]
P: [ 1.77551, 0.456636 ]
K: [ 1.63589, 0.456636 ]
K: [ 1.77551, 0.596262 ]
K: [ 1.77551, 0.31701 ]
P: [ 2.33402, -1.21888 ]
K: [ 2.47365, -1.21888 ]
K: [ 2.19439, -1.21888 ]
K: [ 2.33402, -1.07925 ]
K: [ 2.33402, -1.3585 ]
P: [ 1.77551, -0.660374 ]
K: [ 1.91514, -0.660374 ]
K: [ 1.63589, -0.660374 ]
K: [ 1.77551, -0.241495 ]
K: [ 1.77551, -1.07925 ]
P: [ 2.05477, -1.07925 ]
K: [ 2.19439, -1.07925 ]
K: [ 1.91514, -1.07925 ]
K: [ 2.05477, -0.939626 ]
K: [ 2.05477, -1.21888 ]
P: [ 2.61327, -1.3585 ]
K: [ 2.7529, -1.3585 ]
K: [ 2.47365, -1.3585 ]
K: [ 2.61327, -1.21888 ]
K: [ 2.61327, -1.49813 ]
P: [ 2.7529, -1.3585 ]
K: [ 2.61327, -1.3585 ]
K: [ 2.7529, -1.49813 ]
P: [ 1.63589, 0.0377573 ]
K: [ 1.91514, 0.0377573 ]
K: [ 1.35664, 0.0377573 ]
K: [ 1.63589, 0.456636 ]
K: [ 1.63589, -0.381121 ]
P: [ 1.77551, 0.596262 ]
K: [ 1.63589, 0.596262 ]
K: [ 1.77551, 0.456636 ]
P: [ 2.47365, -1.3585 ]
K: [ 2.61327, -1.3585 ]
K: [ 2.33402, -1.3585 ]
K: [ 2.47365, -1.21888 ]
K: [ 2.47365, -1.49813 ]
P: [ 1.63589, -0.381121 ]
K: [ 1.77551, -0.381121 ]
K: [ 1.49626, -0.381121 ]
K: [ 1.63589, 0.0377573 ]
K: [ 1.63589, -0.8 ]
P: [ 1.63589, -0.101869 ]
K: [ 1.91514, -0.101869 ]
K: [ 1.35664, -0.101869 ]
K: [ 1.63589, 0.31701 ]
K: [ 1.63589, -0.520748 ]
P: [ 2.19439, -1.21888 ]
K: [ 2.33402, -1.21888 ]
K: [ 2.05477, -1.21888 ]
K: [ 2.19439, -1.07925 ]
K: [ 2.19439, -1.3585 ]
P: [ 1.63589, -0.241495 ]
K: [ 1.91514, -0.241495 ]
K: [ 1.35664, -0.241495 ]
K: [ 1.63589, 0.177384 ]
K: [ 1.63589, -0.660374 ]
P: [ 2.05477, -1.21888 ]
K: [ 2.19439, -1.21888 ]
K: [ 1.91514, -1.21888 ]
K: [ 2.05477, -1.07925 ]
K: [ 2.05477, -1.3585 ]
P: [ 1.63589, 0.31701 ]
K: [ 1.77551, 0.31701 ]
K: [ 1.49626, 0.31701 ]
K: [ 1.63589, 0.596262 ]
K: [ 1.63589, 0.0377573 ]
P: [ 1.63589, 0.177384 ]
K: [ 1.77551, 0.177384 ]
K: [ 1.49626, 0.177384 ]
K: [ 1.63589, 0.596262 ]
K: [ 1.63589, -0.241495 ]
P: [ 1.77551, -0.8 ]
K: [ 1.91514, -0.8 ]
K: [ 1.63589, -0.8 ]
K: [ 1.77551, -0.520748 ]
K: [ 1.77551, -1.07925 ]
P: [ 1.63589, -0.520748 ]
K: [ 1.77551, -0.520748 ]
K: [ 1.49626, -0.520748 ]
K: [ 1.63589, -0.241495 ]
K: [ 1.63589, -0.8 ]
P: [ 1.91514, -1.07925 ]
K: [ 2.05477, -1.07925 ]
K: [ 1.77551, -1.07925 ]
K: [ 1.91514, -0.8 ]
K: [ 1.91514, -1.3585 ]
P: [ 2.7529, -1.49813 ]
K: [ 2.89252, -1.49813 ]
K: [ 2.61327, -1.49813 ]
K: [ 2.7529, -1.3585 ]
K: [ 2.7529, -1.63776 ]
P: [ 2.89252, -1.49813 ]
K: [ 2.7529, -1.49813 ]
K: [ 2.89252, -1.63776 ]
P: [ 2.33402, -1.3585 ]
K: [ 2.47365, -1.3585 ]
K: [ 2.19439, -1.3585 ]
K: [ 2.33402, -1.21888 ]
K: [ 2.33402, -1.49813 ]
P: [ 1.77551, -0.939626 ]
K: [ 1.91514, -0.939626 ]
K: [ 1.63589, -0.939626 ]
K: [ 1.77551, -0.8 ]
K: [ 1.77551, -1.07925 ]
P: [ 1.63589, 0.456636 ]
K: [ 1.77551, 0.456636 ]
K: [ 1.49626, 0.456636 ]
K: [ 1.63589, 0.735888 ]
K: [ 1.63589, 0.177384 ]
P: [ 1.63589, -0.660374 ]
K: [ 1.77551, -0.660374 ]
K: [ 1.49626, -0.660374 ]
K: [ 1.63589, -0.381121 ]
K: [ 1.63589, -0.939626 ]
P: [ 2.61327, -1.49813 ]
K: [ 2.7529, -1.49813 ]
K: [ 2.47365, -1.49813 ]
K: [ 2.61327, -1.3585 ]
K: [ 2.61327, -1.63776 ]
P: [ 1.63589, 0.596262 ]
K: [ 1.77551, 0.596262 ]
K: [ 1.49626, 0.596262 ]
K: [ 1.63589, 0.735888 ]
K: [ 1.63589, 0.456636 ]
P: [ 1.77551, -1.07925 ]
K: [ 1.91514, -1.07925 ]
K: [ 1.63589, -1.07925 ]
K: [ 1.77551, -0.939626 ]
K: [ 1.77551, -1.21888 ]
P: [ 2.19439, -1.3585 ]
K: [ 2.33402, -1.3585 ]
K: [ 2.05477, -1.3585 ]
K: [ 2.19439, -1.21888 ]
K: [ 2.19439, -1.49813 ]
P: [ 2.47365, -1.49813 ]
K: [ 2.61327, -1.49813 ]
K: [ 2.33402, -1.49813 ]
K: [ 2.47365, -1.3585 ]
K: [ 2.47365, -1.63776 ]
P: [ 2.05477, -1.3585 ]
K: [ 2.19439, -1.3585 ]
K: [ 1.91514, -1.3585 ]
K: [ 2.05477, -1.21888 ]
K: [ 2.05477, -1.49813 ]
P: [ 1.49626, -0.381121 ]
K: [ 1.63589, -0.381121 ]
K: [ 1.35664, -0.381121 ]
K: [ 1.49626, -0.101869 ]
K: [ 1.49626, -0.660374 ]
P: [ 1.49626, -0.101869 ]
K: [ 1.63589, -0.101869 ]
K: [ 1.35664, -0.101869 ]
K: [ 1.49626, 0.31701 ]
K: [ 1.49626, -0.520748 ]
P: [ 1.63589, -0.8 ]
K: [ 1.77551, -0.8 ]
K: [ 1.49626, -0.8 ]
K: [ 1.63589, -0.660374 ]
K: [ 1.63589, -0.939626 ]
P: [ 1.49626, 0.31701 ]
K: [ 1.77551, 0.31701 ]
K: [ 1.21701, 0.31701 ]
K: [ 1.49626, 0.735888 ]
K: [ 1.49626, -0.101869 ]
P: [ 1.49626, 0.177384 ]
K: [ 1.77551, 0.177384 ]
K: [ 1.21701, 0.177384 ]
K: [ 1.49626, 0.596262 ]
K: [ 1.49626, -0.241495 ]
P: [ 2.89252, -1.63776 ]
K: [ 3.03215, -1.63776 ]
K: [ 2.7529, -1.63776 ]
K: [ 2.89252, -1.49813 ]
K: [ 2.89252, -1.77738 ]
P: [ 3.03215, -1.63776 ]
K: [ 2.89252, -1.63776 ]
K: [ 3.03215, -1.77738 ]
P: [ 1.63589, 0.735888 ]
K: [ 1.49626, 0.735888 ]
K: [ 1.63589, 0.875515 ]
K: [ 1.63589, 0.596262 ]
P: [ 2.33402, -1.49813 ]
K: [ 2.47365, -1.49813 ]
K: [ 2.19439, -1.49813 ]
K: [ 2.33402, -1.3585 ]
K: [ 2.33402, -1.63776 ]
P: [ 1.49626, -0.520748 ]
K: [ 1.63589, -0.520748 ]
K: [ 1.35664, -0.520748 ]
K: [ 1.49626, -0.381121 ]
K: [ 1.49626, -0.660374 ]
P: [ 1.63589, -0.939626 ]
K: [ 1.77551, -0.939626 ]
K: [ 1.63589, -0.8 ]
K: [ 1.63589, -1.07925 ]
P: [ 2.7529, -1.63776 ]
K: [ 2.89252, -1.63776 ]
K: [ 2.61327, -1.63776 ]
K: [ 2.7529, -1.49813 ]
K: [ 2.7529, -1.77738 ]
P: [ 1.91514, -1.3585 ]
K: [ 2.05477, -1.3585 ]
K: [ 1.77551, -1.3585 ]
K: [ 1.91514, -1.21888 ]
K: [ 1.91514, -1.49813 ]
P: [ 1.49626, -0.241495 ]
K: [ 1.63589, -0.241495 ]
K: [ 1.35664, -0.241495 ]
K: [ 1.49626, 0.0377573 ]
K: [ 1.49626, -0.520748 ]
P: [ 1.49626, 0.0377573 ]
K: [ 1.77551, 0.0377573 ]
K: [ 1.21701, 0.0377573 ]
K: [ 1.49626, 0.456636 ]
K: [ 1.49626, -0.381121 ]
P: [ 1.49626, 0.456636 ]
K: [ 1.63589, 0.456636 ]
K: [ 1.35664, 0.456636 ]
K: [ 1.49626, 0.875515 ]
K: [ 1.49626, 0.0377573 ]
P: [ 1.49626, -0.660374 ]
K: [ 1.63589, -0.660374 ]
K: [ 1.49626, -0.520748 ]
K: [ 1.49626, -0.8 ]
P: [ 2.61327, -1.63776 ]
K: [ 2.7529, -1.63776 ]
K: [ 2.47365, -1.63776 ]
K: [ 2.61327, -1.49813 ]
K: [ 2.61327, -1.77738 ]
P: [ 1.63589, -1.07925 ]
K: [ 1.77551, -1.07925 ]
K: [ 1.63589, -0.939626 ]
K: [ 1.63589, -1.21888 ]
P: [ 2.19439, -1.49813 ]
K: [ 2.33402, -1.49813 ]
K: [ 2.05477, -1.49813 ]
K: [ 2.19439, -1.3585 ]
K: [ 2.19439, -1.63776 ]
P: [ 2.05477, -1.49813 ]
K: [ 2.19439, -1.49813 ]
K: [ 1.91514, -1.49813 ]
K: [ 2.05477, -1.3585 ]
K: [ 2.05477, -1.63776 ]
P: [ 1.63589, 0.875515 ]
K: [ 1.49626, 0.875515 ]
K: [ 1.63589, 0.735888 ]
P: [ 1.49626, 0.596262 ]
K: [ 1.63589, 0.596262 ]
K: [ 1.35664, 0.596262 ]
K: [ 1.49626, 0.875515 ]
K: [ 1.49626, 0.31701 ]
P: [ 1.35664, -0.101869 ]
K: [ 1.49626, -0.101869 ]
K: [ 1.21701, -0.101869 ]
K: [ 1.35664, 0.177384 ]
K: [ 1.35664, -0.381121 ]
P: [ 2.47365, -1.63776 ]
K: [ 2.61327, -1.63776 ]
K: [ 2.33402, -1.63776 ]
K: [ 2.47365, -1.49813 ]
K: [ 2.47365, -1.77738 ]
P: [ 1.35664, 0.0377573 ]
K: [ 1.49626, 0.0377573 ]
K: [ 1.21701, 0.0377573 ]
K: [ 1.35664, 0.31701 ]
K: [ 1.35664, -0.241495 ]
P: [ 1.49626, -0.8 ]
K: [ 1.63589, -0.8 ]
K: [ 1.49626, -0.660374 ]
P: [ 1.35664, 0.177384 ]
K: [ 1.49626, 0.177384 ]
K: [ 1.21701, 0.177384 ]
K: [ 1.35664, 0.596262 ]
K: [ 1.35664, -0.241495 ]
P: [ 1.35664, -0.381121 ]
K: [ 1.49626, -0.381121 ]
K: [ 1.21701, -0.381121 ]
K: [ 1.35664, -0.241495 ]
K: [ 1.35664, -0.520748 ]
P: [ 1.35664, -0.241495 ]
K: [ 1.49626, -0.241495 ]
K: [ 1.21701, -0.241495 ]
K: [ 1.35664, -0.101869 ]
K: [ 1.35664, -0.381121 ]
P: [ 1.91514, -1.49813 ]
K: [ 2.05477, -1.49813 ]
K: [ 1.77551, -1.49813 ]
K: [ 1.91514, -1.3585 ]
K: [ 1.91514, -1.63776 ]
P: [ 1.35664, 0.31701 ]
K: [ 1.49626, 0.31701 ]
K: [ 1.21701, 0.31701 ]
K: [ 1.35664, 0.735888 ]
K: [ 1.35664, -0.101869 ]
P: [ 1.63589, -1.21888 ]
K: [ 1.77551, -1.21888 ]
K: [ 1.63589, -1.07925 ]
P: [ 2.33402, -1.63776 ]
K: [ 2.47365, -1.63776 ]
K: [ 2.19439, -1.63776 ]
K: [ 2.33402, -1.49813 ]
K: [ 2.33402, -1.77738 ]
P: [ 1.49626, 0.735888 ]
K: [ 1.63589, 0.735888 ]
K: [ 1.35664, 0.735888 ]
K: [ 1.49626, 1.01514 ]
K: [ 1.49626, 0.456636 ]
P: [ 3.03215, -1.77738 ]
K: [ 2.89252, -1.77738 ]
K: [ 3.03215, -1.63776 ]
K: [ 3.03215, -1.91701 ]
P: [ 2.89252, -1.77738 ]
K: [ 3.03215, -1.77738 ]
K: [ 2.7529, -1.77738 ]
K: [ 2.89252, -1.63776 ]
K: [ 2.89252, -1.91701 ]
P: [ 1.35664, -0.520748 ]
K: [ 1.49626, -0.520748 ]
K: [ 1.35664, -0.381121 ]
P: [ 2.7529, -1.77738 ]
K: [ 2.89252, -1.77738 ]
K: [ 2.61327, -1.77738 ]
K: [ 2.7529, -1.63776 ]
K: [ 2.7529, -1.91701 ]
P: [ 1.35664, 0.456636 ]
K: [ 1.49626, 0.456636 ]
K: [ 1.21701, 0.456636 ]
K: [ 1.35664, 0.875515 ]
K: [ 1.35664, 0.0377573 ]
P: [ 2.61327, -1.77738 ]
K: [ 2.7529, -1.77738 ]
K: [ 2.47365, -1.77738 ]
K: [ 2.61327, -1.63776 ]
K: [ 2.61327, -1.91701 ]
P: [ 2.19439, -1.63776 ]
K: [ 2.33402, -1.63776 ]
K: [ 2.05477, -1.63776 ]
K: [ 2.19439, -1.49813 ]
K: [ 2.19439, -1.77738 ]
P: [ 2.05477, -1.63776 ]
K: [ 2.19439, -1.63776 ]
K: [ 1.91514, -1.63776 ]
K: [ 2.05477, -1.49813 ]
K: [ 2.05477, -1.77738 ]
P: [ 1.49626, 0.875515 ]
K: [ 1.63589, 0.875515 ]
K: [ 1.35664, 0.875515 ]
K: [ 1.49626, 1.01514 ]
K: [ 1.49626, 0.735888 ]
P: [ 1.35664, 0.596262 ]
K: [ 1.49626, 0.596262 ]
K: [ 1.21701, 0.596262 ]
K: [ 1.35664, 1.01514 ]
K: [ 1.35664, 0.177384 ]
P: [ 1.91514, -1.63776 ]
K: [ 2.05477, -1.63776 ]
K: [ 1.77551, -1.63776 ]
K: [ 1.91514, -1.49813 ]
K: [ 1.91514, -1.77738 ]
P: [ 2.47365, -1.77738 ]
K: [ 2.61327, -1.77738 ]
K: [ 2.33402, -1.77738 ]
K: [ 2.47365, -1.63776 ]
K: [ 2.47365, -1.91701 ]
P: [ 1.21701, -0.101869 ]
K: [ 1.35664, -0.101869 ]
K: [ 1.21701, 0.0377573 ]
K: [ 1.21701, -0.241495 ]
P: [ 1.21701, -0.241495 ]
K: [ 1.35664, -0.241495 ]
K: [ 1.21701, -0.101869 ]
K: [ 1.21701, -0.381121 ]
